POS;FW;RV;;
1;4;184;1884;884
71;139;142;1884;842
135;173;117;1884;817
205;203;102;1884;802
276;230;107;1884;807
345;275;105;1884;805
412;303;109;1884;809
495;329;116;1884;816
560;352;12;1884;712
625;365;114;1884;814
689;391;116;1884;816
764;409;123;1884;823
840;435;125;1884;825
905;462;132;1884;832
996;483;140;1884;840
1066;500;177;1884;877
1134;536;243;1884;943
1213;585;273;1884;973
1309;578;289;1884;989
1409;558;391;1884;1091
1490;597;442;1884;1142
1559;642;517;1884;1217
1668;600;579;1884;1279
1735;490;585;1884;1285
1803;457;579;1884;1279
1895;420;577;920;1277
1965;414;576;914;1276
2034;411;583;911;1283
2104;413;588;913;1288
2187;401;590;901;1290
2257;416;584;916;1284
2327;411;589;911;1289
2397;412;591;912;1291
2490;414;590;914;1290
2559;412;584;912;1284
2629;415;588;915;1288
2698;410;583;910;1283
2768;416;583;916;1283
2861;409;594;909;1294
2930;411;582;911;1282
3000;412;590;912;1290
3069;407;597;907;1297
3139;413;588;913;1288
3232;411;581;911;1281
3339;409;591;909;1291
3408;412;587;912;1287
3478;422;601;922;1301
3547;407;598;907;1298
3640;426;597;926;1297
3710;410;588;910;1288
3779;411;601;911;1301
3849;404;593;904;1293
3918;412;584;912;1284
4006;415;589;915;1289
4076;416;588;916;1288
4145;406;587;906;1287
4215;415;583;915;1283
4308;402;592;902;1292
4377;400;585;900;1285
4485;409;597;909;1297
4554;398;583;898;1283
4624;409;598;909;1298
4717;410;593;910;1293
4786;409;592;909;1292
4857;407;583;907;1283
4925;417;595;917;1295
4997;410;584;910;1284
5089;410;590;910;1290
5157;418;583;918;1283
5228;413;585;913;1285
5297;417;586;917;1286
5367;404;584;904;1284
5461;408;590;908;1290
5529;410;584;910;1284
5636;409;592;909;1292
5706;403;590;903;1290
5775;410;598;910;1298
5868;401;599;901;1299
5938;403;589;903;1289
6007;407;589;907;1289
6078;408;591;908;1291
6146;410;593;910;1293
6239;412;602;912;1302
6310;406;585;906;1285
6379;405;599;905;1299
6449;409;589;909;1289
6518;408;590;908;1290
6611;407;592;907;1292
6681;401;587;901;1287
6787;409;597;909;1297
6857;400;589;900;1289
6927;410;595;910;1295
7020;409;588;909;1288
7089;411;596;911;1296
7159;402;598;902;1298
7229;410;595;910;1295
7298;405;590;905;1290
7391;403;591;903;1291
7461;411;602;911;1302
7531;404;596;904;1296
7600;407;595;907;1295
7670;401;587;901;1287
7763;406;591;906;1291
7833;406;589;906;1289
7939;405;594;905;1294
8009;396;592;896;1292
8079;405;605;905;1305
8172;407;595;907;1295
8241;397;599;897;1299
8311;400;596;900;1296
8381;401;594;901;1294
8451;405;596;905;1296
8544;403;593;903;1293
8613;405;593;905;1293
8684;409;603;909;1303
8753;409;601;909;1301
8823;406;588;906;1288
8915;404;593;904;1293
8985;408;589;908;1289
9092;415;598;915;1298
9162;408;598;908;1298
9231;410;598;910;1298
9324;404;598;904;1298
9394;395;604;895;1304
9464;407;589;907;1289
9533;410;605;910;1305
9603;407;591;907;1291
9696;411;601;911;1301
9766;410;594;910;1294
9836;407;605;907;1305
9905;403;599;903;1299
9975;408;613;908;1313
10068;405;603;905;1303
10137;408;609;908;1309
10245;403;606;903;1306
10314;408;614;908;1314
10385;404;607;904;1307
10478;409;601;909;1301
10547;405;603;905;1303
10617;405;592;905;1292
10686;399;603;899;1303
10758;411;595;911;1295
10849;407;619;907;1319
10919;400;594;900;1294
10989;413;614;913;1314
11058;397;606;897;1306
11130;409;616;909;1316
11222;393;603;893;1303
11291;406;618;906;1318
11397;404;608;904;1308
11469;398;614;898;1314
11537;403;604;903;1304
11630;400;619;900;1319
11701;393;597;893;1297
11769;407;612;907;1312
11840;407;599;907;1299
11909;409;605;909;1305
12002;398;606;898;1306
12073;399;610;899;1310
12142;406;615;906;1315
12213;408;601;908;1301
12281;405;624;905;1324
12374;396;610;896;1310
12445;415;629;915;1329
12551;403;608;903;1308
12621;413;616;913;1316
12690;408;610;908;1310
12783;414;623;914;1323
12853;404;623;904;1323
12923;404;633;904;1333
12993;403;623;903;1323
13062;408;631;908;1331
13155;399;620;899;1320
13225;403;619;903;1319
13295;411;615;911;1315
13365;406;622;906;1322
13434;394;616;894;1316
13527;402;627;902;1327
13597;403;614;903;1314
13704;396;623;896;1323
13773;405;618;905;1318
13844;407;621;907;1321
13936;391;609;891;1309
14006;404;622;904;1322
14076;386;628;886;1328
14145;371;623;871;1323
14215;307;640;807;1340
14306;299;681;799;1381
14375;258;745;758;1445
14442;246;880;746;1580
14509;208;972;708;1933
14574;186;983;686;1933
14660;194;894;694;1933
14743;157;835;657;1933
14817;164;833;664;1933
14916;134;821;634;1933
15010;120;777;620;1933
15084;100;733;600;1933
15154;101;709;601;1933
15222;94;675;594;1933
15288;85;633;585;1933
15351;81;612;581;1933
15426;79;582;579;1933
15498;76;550;576;1933
15566;71;481;571;1933
15650;68;456;568;1933
15721;64;409;564;1933
15787;56;368;556;1933
15858;51;306;551;1933
15931;45;283;545;1933
