POS;FW;RW;TO;TC
1;-35;152;1868;1009
7;136;218;1868;1015
13;405;279;1868;912
19;255;177;1868;840
25;318;138;1868;822
31;344;132;1868;815
37;386;165;1868;834
43;360;165;1868;829
49;307;153;1868;826
57;325;191;1868;798
65;365;148;1868;794
72;371;116;1868;800
79;367;111;1868;806
86;404;113;1868;806
93;404;124;1868;798
100;308;122;1868;808
107;470;122;1868;818
115;500;133;1868;818
121;500;126;1868;806
128;547;126;1868;803
134;578;120;1868;819
141;578;137;1868;818
148;578;115;1868;813
154;578;124;1868;809
162;561;109;1868;825
170;561;118;1868;847
178;573;118;1868;861
184;573;161;1868;864
192;540;132;1868;860
200;390;153;1868;877
206;390;145;1868;879
214;430;157;1868;876
220;430;131;1868;863
229;460;146;1868;866
235;460;131;1390;860
243;355;128;1366;853
252;355;114;1367;843
258;352;105;1365;828
267;352;103;1352;817
276;274;130;1337;812
282;274;113;1334;811
291;324;125;1338;812
300;324;155;1312;823
306;356;163;1293;814
315;356;127;1311;814
324;425;160;1327;812
330;425;177;1339;815
339;341;138;1355;814
349;406;117;1369;818
355;406;155;1369;820
364;370;139;1352;826
373;370;137;1349;822
379;295;136;1376;828
389;295;174;1394;829
398;394;140;1379;829
404;394;140;1382;825
413;359;136;1392;842
422;359;174;1384;845
428;337;154;1351;844
437;337;140;1385;852
446;344;143;1409;885
452;344;145;1467;921
461;337;160;1494;938
470;337;160;1295;911
477;351;159;1581;931
486;351;136;1557;946
495;361;210;1530;916
502;361;123;1488;874
512;381;129;1440;885
521;301;131;1382;901
528;301;127;1349;848
537;287;127;1305;833
547;287;131;1296;833
554;287;129;1323;832
563;266;131;1305;832
573;348;131;1293;833
580;348;191;1298;834
589;377;134;1297;836
599;377;135;1296;836
605;377;138;1304;836
615;377;234;1357;839
625;470;234;1359;839
631;309;134;1330;840
641;309;148;1335;844
651;435;148;1364;852
657;435;204;1365;854
667;294;169;1354;854
676;294;169;1374;884
683;372;249;1377;888
692;372;164;1359;878
702;315;191;1360;924
709;315;183;1386;953
718;350;183;1378;716
728;350;247;1330;973
734;300;169;1338;969
744;300;245;1401;970
753;365;245;1384;1187
760;319;155;1362;937
770;319;155;1397;1214
779;357;196;1396;971
786;357;208;1368;971
796;303;143;1321;1180
805;303;136;1343;916
812;375;136;1335;887
821;375;145;1318;874
831;247;263;1320;886
838;247;256;1308;882
847;316;256;1272;866
857;316;241;1284;847
864;279;241;1293;851
873;279;165;1329;847
883;415;200;1340;844
890;320;170;1365;854
899;320;163;1373;850
909;360;163;1363;853
915;360;213;1368;854
925;381;158;1389;861
935;279;206;1400;875
941;279;206;1389;863
951;324;184;1379;864
961;324;242;1380;880
967;324;242;1390;878
977;359;182;1387;889
987;363;151;1346;902
993;363;169;1343;940
1003;326;169;1323;938
1012;326;211;1274;914
1018;188;184;1223;947
1028;188;174;1205;951
1037;160;174;1195;943
1043;160;157;1174;908
1052;152;146;1157;923
1061;152;146;1153;934
1067;149;219;1152;964
1076;149;134;1151;924
1085;146;134;1148;892
1093;142;162;1147;888
1099;142;137;1145;882
1107;142;137;1140;889
1113;140;198;1140;915
1121;140;168;1135;894
1130;133;188;1131;879
1138;126;188;1125;879
1146;129;160;1123;868
1156;129;152;1124;867
1164;123;152;1119;858
1171;123;375;1115;851
1179;115;375;1113;877
1186;116;302;1114;906
1195;116;219;1110;907
1203;108;197;1109;890
1209;111;197;1105;1214
1216;111;203;1102;1214
1222;107;264;1102;1214
1231;107;264;1102;1214
1237;93;164;1097;1214
1243;93;177;1094;1214
1249;93;177;1095;1214
1255;92;212;1094;1214
1263;79;212;1088;1214
1269;79;202;1083;1214
1277;78;210;1084;1214
1283;74;210;1086;1214
1291;67;203;1082;1214
1297;67;217;1077;1214
1304;67;217;1076;1214
1311;59;184;1073;1214
1318;61;240;1073;1214
1326;61;286;1073;1214
1332;62;286;1070;1214
1339;63;166;1073;1214
1345;66;244;1074;1214
1352;69;244;1072;1214
1358;65;250;1071;1214
1366;65;230;1070;1214
1372;63;153;1070;1214
1378;65;173;1070;1214
1385;67;173;1070;1214
1391;70;207;1070;1214
1397;112;171;1071;1214
1404;139;169;1098;1214
1410;187;153;1114;1214
1416;159;168;1129;1214
1423;135;157;1126;1214
1429;122;157;1124;1214
1435;155;124;1128;1214
1441;162;113;1138;1214
1448;140;60;1158;1214
1454;147;185;1160;1214
